asset_code,asset_issuer,cnt
CENTUSX,GD7I4VIGF2LJEK6XKZDFLWRT6NFVIXN2CGLVSXEPNWJWTN4QRGX4226Z,1647325
CENTUS,GCBSY6IJHRG4APD7EYZSULW62U3G2YLIVB3ZEPUO5KYAI7HVEOYFIBRI,1643276
EGAS,GABLR3ZUR3WURF7GQS4WEA5NT7TUO6DE5RTSNYOJ5HPHGEZZGUGD43GD,1627691
STELLARBASE,GBGI7COVHHRTOPVLFNZWVCUR5NIXFHLGE3LVN3RS5QIBLADCUF3QAFCR,1587044
USWN,GCBLYNK7PJWPQD5GR7D23AB6AOTFWS7FOQIPQXSDYOLK2A5XJV4PWRE4,1583704
AXOF,GDNUVPUOMWOF2ML5FA5E4HQDX7EHV3VCJTLLTO563PUMZKMHJUJIJSYI,1575142
SKULL,GBGX7T3NYZELD7AFMW7G3FNEMWPFZSA67HDQY2LZ4AWF5I4TPDHGMRKY,1568570
FINTECH,GAJ6C23TL67IEBRFSVIOXBC2GWAN64N6FHFZ36OV27F3ZOQP4ALRAAMQ,1564932
AZWL,GDNUVPUOMWOF2ML5FA5E4HQDX7EHV3VCJTLLTO563PUMZKMHJUJIJSYI,1547129
SRT,GC5GIA44CPSH5AIS7KBAWVLLBJ454765UCUHXHT3RXZYNQPEBY2YGMOJ,1535192
VZT,GBENYXZDFFR2J4F4DB3YPBBAM244TXYOTIOOUQI5DBT3OKUU4ZJ2M7NO,1532166
CTG,GD6BGC6CCDFL3G77GAPYXGZLUUQIL2CVOPKFVYT35FE23HVL6JAJ2FFA,1522500
PYUSD,GCSJYLXJ3LTHGA74MTIHTRNXZH5BKBEIWDB7LI64YGWGEA5AZMCVTARX,1508484
BFIRE,GB7U643OOUENEYK5NKFPSLX432P6PMNQITDWRMU2RVG4PXBRTHAVJOJW,1497879
SUGARSKULL,GC2OZUCAYT573GYWXANGQS3XXGDH6YP772ZV27JSVFWSEXJ6E22E5PCS,1482537
STD,GABRD2ANVDM5XKMHIZ5K4JDAFLSAKAAHP3WR7DOPZJHALWE5C5UXSRYV,1474515
XAGTOK,GAGLKQ3N4VIZXM3KYSMNHOWUD6E2JFG6P3EUWSYXJUPJI2CA6LJAYFK7,1457191
wXLM,GAFLAGH6IIPXU22ZOKT2DYXJECOCJRYDOGPKM76NCYLCQT67DH6VMII7,1456330
XAUTOK,GASO2ZUKWYKH4PXYHOWYMJCAIK5P7I5SMH5F2HWIWWWNMJZAPHXIVR5R,1427147
KOMA,GCAZQOZASJVXTVRWF2KVYX2VCSIQGCY7X3CNVCZLRJSO7NPDUZAC3BAR,1425639
ETH,GDJLBEEVGEPB42TCSEF4VYHSLQZJGZ6EUMXNOANI4G2XMTJCDBHF6P4Z,1420053
BTC,GC33QUM35DONISNWLDPALVMIKGPT3MNDU3NJVNKR7K4NG3RWTKKBUQZA,1399218
TheStorm,GB52CBDH2TPBZ6IHC5WUT3BWRAGCNXGQO25KGK45HLRIV6OEY5JGWNMA,1384222
BLKG,GA77SMJJOCTGO5SPRZB2OHPL6MB7S5IN3TBJSVEVICNVIMR7J35KNT4X,1368454
SUN,GA3QKVTHGK2PRYC4JDQNOCRPHJKWKCLGFH32LWADL6E7URQQ2OY6GOXZ,1360384
enec7732,GDS5JKWWPTISJMFVUPC3HOJKRXMNJNYDNM2OEXDG3UEZ7RGG7X3FIZZ4,1359768
CMS,GCVBUIXKKLH2DYHZRSLZUIZSVJUL74RTW6FVCCEYB2OE3RH7RVDBPCFG,1352390
MINE,GDOGDD2OO2WF4I46X3R4VZOMXMQZXRBVV7YKHJBLEEWTM66KI6NSZ2IN,1335681
XAU,GBXJFIGPL7RMHSBLM4HTOOQ37JKSXKMIM6I7FLZVYH4ARQ625Y5YR2Z6,1330688
CMA,GBWZHAVWY23QKKDJW7TXLSIHY5EX4NIB37O4NMRKN2SKNWOSE5TEPCY3,1319399
RIFT,GDIOTH3CAMGPSOZHIBAKAK25EW2ZIM33G4EUMND26I2WGOHCY3V2G2D2,1318000
CPR,GCVAN6WSFRYAL2JCZMMGDGHEYUZVJKUQ7737NEDRNG4OE4TCJUJ6EOU4,1289047
